,Date,Open*,High,Low,Close**,Volume,Market Cap,price
1626,2017-10-10,4776.21,4922.17,4765.1,4781.99,1597139968.0,79351848960,4776.21
1627,2017-10-11,4789.25,4873.73,4751.63,4826.48,1222279936.0,79578218496,4789.25
1628,2017-10-12,4829.58,5446.91,4822.0,5446.91,2791610112.0,80256729088,4829.58
1629,2017-10-13,5464.16,5840.3,5436.85,5647.21,3615480064.0,90812375040,5464.16
1630,2017-10-14,5643.53,5837.7,5591.64,5831.79,1669030016.0,93803028480,5643.53
1631,2017-10-15,5835.96,5852.48,5478.61,5678.19,1976039936.0,97011859456,5835.96
1632,2017-10-16,5687.57,5776.23,5544.21,5725.59,2008070016.0,94558953472,5687.57
1633,2017-10-17,5741.58,5800.35,5472.72,5605.51,1821570048.0,95469297664,5741.58
1634,2017-10-18,5603.82,5603.82,5151.44,5590.69,2399269888.0,93190160384,5603.82
1635,2017-10-19,5583.74,5744.35,5531.06,5708.52,1780540032.0,92866969600,5583.74
1636,2017-10-20,5708.11,6060.11,5627.23,6011.45,2354429952.0,94947926016,5708.11
1637,2017-10-21,5996.79,6194.88,5965.07,6031.6,2207099904.0,99763249152,5996.79
1638,2017-10-22,6036.66,6076.26,5792.34,6008.42,2034630016.0,100437917696,6036.66
1639,2017-10-23,6006.0,6075.59,5732.47,5930.32,2401840128.0,99941629952,6006.0
1640,2017-10-24,5935.52,5935.52,5504.18,5526.64,2735699968.0,98781609984,5935.52
1641,2017-10-25,5524.6,5754.33,5397.88,5750.8,1966989952.0,91954200576,5524.6
1642,2017-10-26,5747.95,5976.8,5721.22,5904.83,1905040000.0,95685124096,5747.95
1643,2017-10-27,5899.74,5988.39,5728.82,5780.9,1710130048.0,98225446912,5899.74
1644,2017-10-28,5787.82,5876.72,5689.19,5753.09,1403920000.0,96369557504,5787.82
1645,2017-10-29,5754.44,6255.71,5724.58,6153.85,2859040000.0,95819800576,5754.44
1646,2017-10-30,6114.85,6214.99,6040.85,6130.53,1772150016.0,101833015296,6114.85
1647,2017-10-31,6132.02,6470.43,6103.33,6468.4,2311379968.0,102130237440,6132.02
1648,2017-11-01,6440.97,6767.31,6377.88,6767.31,2870320128.0,107286847488,6440.97
1649,2017-11-02,6777.77,7367.33,6758.72,7078.5,4653770240.0,112909656064,6777.77
1650,2017-11-03,7087.53,7461.29,7002.94,7207.76,3369860096.0,118083854336,7087.53
1651,2017-11-04,7164.48,7492.86,7031.28,7379.95,2483800064.0,119376199680,7164.48
1652,2017-11-05,7404.52,7617.48,7333.19,7407.41,2380410112.0,123388100608,7404.52
1653,2017-11-06,7403.22,7445.77,7007.31,7022.76,3111899904.0,123379326976,7403.22
1654,2017-11-07,7023.1,7253.32,7023.1,7144.38,2326340096.0,117056233472,7023.1
1655,2017-11-08,7141.38,7776.42,7114.02,7459.69,4602200064.0,119041392640,7141.38
1656,2017-11-09,7446.83,7446.83,7101.52,7143.58,3226249984.0,124146434048,7446.83
1657,2017-11-10,7173.73,7312.0,6436.87,6618.14,5208249856.0,119607435264,7173.73
1658,2017-11-11,6618.61,6873.15,6204.22,6357.6,4908680192.0,110361878528,6618.61
1659,2017-11-12,6295.45,6625.05,5519.01,5950.07,8957349888.0,104979750912,6295.45
1660,2017-11-13,5938.25,6811.19,5844.29,6559.49,6263249920.0,99029016576,5938.25
1661,2017-11-14,6561.48,6764.98,6461.75,6635.75,3197110016.0,109433905152,6561.48
1662,2017-11-15,6634.76,7342.25,6634.76,7315.54,4200880128.0,110666571776,6634.76
